성별,분위기1,분위기2,분위기3,분위기4,분위기5,접근성1,접근성2,접근성3,접근성4,편의성1,편의성2,편의성3,편의성4,친절도1,친절도2,친절도3,친절도4,친절도5,맛1,맛2,맛3,가격1,가격2,가격3,메뉴1,메뉴2,메뉴3,명성1,명성2,명성3,명성4,외만족1,외만족2,외만족3,외만족4,내만족1,내만족2,내만족3,신뢰1,신뢰2,신뢰3,재방문1,재방문2,재방문3
1,5,5,5,5,5,4,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3.5,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3
1,3,3,5,5,5,5,5,5,5,5,3,3,3,3,5,3,5,5,3.5,4,3.5,3,5,3,3,3,3.5,3,4,4,4,3,3,3,3,3,4,4,3,4,4,3,3,2
1,5,3,3,4,5,4,3,3,4,2,3,3,2,1,2,5,3,4,3,3,2.5,2,2,3,1.5,2.5,4,3,3,3,2,3,3,3,3,2,3,2,3,3,3,3,3,3
1,5,2,3,3,3,2,3,2,3,2,2,3,2,2,2,2,3,2,3,3.5,3.5,2,3,3,3,2.5,3,3,3,2,3,3,3,2,4,2,3,3,3,3,2,3,3,3
2,5,4,3,2,3,4,4,4,4,3,2,2,2,3,3,3,3,3,4,3,4,3,4,4,3.5,3,4,3,3,3,3,4,4,5,4,4,4,3,4,3,3,4,4,3
2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2.5,3,3.5,4,4,4,2.5,2.5,3.5,3,2,3,3,3,3,3,4,3,3,4,3,3,2,3,3,2
1,5,2,3,2,2,2,2,2,4,1,1,1,1,1,1,3,2,2,4.5,4,4,3,4,4,3.5,4,4.5,3,3,3,3,3,4,4,4,3,3,3,3,3,2,3,3,2
1,4,2,3,2,2,2,3,4,3,2,4,4,3,2,3,4,3,3,4.5,4,5,3,3,3,4,3.5,4,2,1,3,3,3,3,3,3,2,2,3,3,3,2,2,2,2
1,4,3,2,2,3,3,3,3,4,2,2,2,3,3,3,3,3,3,3.5,4,3,4,4,4,3.5,3.5,3.5,3,1,3,3,4,3,3,3,3,3,4,3,2,3,3,3,2
1,5,3,3,4,3,3,4,3,4,4,3,3,3,2,3,3,3,4,4,3,3.5,3,3,3,3,3.5,3.5,3,3,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3
1,5,4,4,4,4,4,4,4,4,4,3,3,1,4,4,4,4,4,3.5,3,3.5,3,4,4,3.5,4,3.5,3,3,3,3,4,4,4,4,3,4,4,4,4,4,3,4,3
2,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,2.75,4,3.5,5,5,5,3.5,3.5,3.5,3,3,4,4,5,5,5,5,5,5,5,4,4,3,4,5,5
2,5,2,3,3,3,1,1,2,2,1,1,1,2,1,4,3,3,4,4,3.5,3.5,5,5,4,3,3.5,4,3,4,4,3,3,4,4,3,3,3,3,3,2,3,5,5,5
2,5,3,3,3,3,3,3,3,4,2,2,2,2,3,3,4,3,3,4,4,3.5,4,4,4,3.5,3,3.5,4,3,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4
2,5,1,2,1,2,1,2,2,4,1,1,1,2,1,3,3,2,1,4,3,3.5,2,2,3,3,3,3,2,1,3,3,3,2,3.5,3,2,1,1,2,2,1,1,2,1
2,5,3,3,3,3,3,3,3,3,3,2,3,3,3,4,3,3,4,3.5,3.5,3.5,4,4,4,3.5,3.5,3.5,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2
2,5,4,5,4,4,5,4,5,5,4,3,4,3,5,4,5,5,5,3.5,3.5,3.5,5,4,4,3.5,3.5,3.5,4,4,5,4,5,4,4,5,4,5,5,4,4,4,4,4,3
2,5,3,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,3,3.5,3,4,3,4,3.5,3.5,3.5,4,3,3,4,3,3,3.5,4,3,3,4,5,5,4,4,3,2
2,2,3,4,3,4,4,3,4,5,2,1,2,2,2,3,3,4,3,4,3,4.5,3,5,4,4,3,4,4,3,3,3,3,4,3,3,3,4,3,4,3,3,4,4,3
2,5,3,3,3,3,2,2,2,4,3,2,2,2,3,3,3,3,3,3.5,3.5,3,5,4,4,3.5,3.5,3.5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,5,4,4,5,5,4,4,5,5,5,4,4,4,5,4,5,4,5,4.5,4.5,4.5,5,5,5,4,4.5,4.5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,4,4,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,4.5,4.5,4,5,4,5,4,4,4,5,5,5,5,4,4,4,4,5,5,5,4,5,5,5,5,4
2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2.5,4,3,4,3,3.5,3.5,3,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3
2,5,3,3,3,3,3,3,2,3,4,2,3,2,4,4,3,3,3,3.25,4.5,3,5,4,4,3.5,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
2,5,3,5,3,4,3,3,4,3.5,3.5,3,3,2,2,3.5,2,4,2,4,4.5,4.5,5,5,5,4,4.5,4,3,5,5,3,3,3,3,3,4,4,3,3,3,3,3,4,3
2,5,5,5,5,5,5,5,3,3,1,1,1,1,1,1,1,3,1,4,4,4,5,5,5,3.5,3.5,4,5,5,5,3,3,3,3,3,3,3,1,3,3,3,4,3.5,3.5
2,3,3,3,3,3.5,3,3,4,4,3,3,3,3,3,2,4,3,4,4,3.5,4,4,4,5,3.5,4,3.5,3,4,3,3,4,4,3,3,4,4,3,4,3,3,4,3,3
